# Razorpay's published chargeback reason-code reference, transcribed verbatim.
#
# Source:    https://cdn.razorpay.com/files/chargeback_codes.pdf
# Retrieved: 2026-09-02
# Method:    fetched, then `pdftotext -layout`; every row of all five pages
#            transcribed below. `reason_text` preserves the document's own
#            wording, including its typos (e.g. MASTERCARD 4849 "Questionable
#            Merchant Activates", MASTERCARD 4831 "Transaction Amount?") - a
#            transcription is not the place to silently correct a source.
#
# `wire_code` is this system's own identifier for the row: the network prefix
# (MASTERCARD -> MC) plus the published code. It exists because the published
# `code` alone is not unique - MASTERCARD and VISA both publish 98 and 99.
#
# Not in this file, and deliberately so: VISA 10.4 ("Other Fraud - Card-Absent
# Environment"), the post-2018 Visa Claims Resolution condition that replaced
# VISA 83. Razorpay's reference still publishes 83 and has not been updated to
# the VCR scheme (re-checked 2026-09-02). This file is the published list as
# published; the 83 -> 10.4 supersession is applied in
# `disputedesk/evidence/published_reason_codes.py`, where it can be read
# alongside its reasoning, rather than smuggled into a fixture that claims to
# be a transcription. See GENERATOR.md §8 and DECISIONS.md's 2026-09-01 "Visa
# reason code rename" entry.
network,code,wire_code,reason_text,category,preventable,reversible
VISA,74,VISA_74,Late Presentment,Processing Error,YES,YES
VISA,75,VISA_75,Transaction Not Recognized,Request for Information,NO,YES
VISA,76,VISA_76,Incorrect Curr or Tran Code or Dom Proc Violation,Processing Error,NO,YES
VISA,77,VISA_77,Non-Matching Account Number,Authorization Error,YES,YES
VISA,78,VISA_78,Service Code Violation,Processing Error,YES,YES
VISA,79,VISA_79,Requested Transaction Receipt Not Received,Request for Information,YES,NO
VISA,80,VISA_80,Incorrect Transaction Amount or Account Number,Processing Error,YES,YES
VISA,81,VISA_81,Fraud-Card Present Environment,Fraud,NO,YES
VISA,83,VISA_83,Fraud-Card Absent Environment,Fraud,NO,YES
VISA,85,VISA_85,Credit Not Processed,Cancelled/Returned by Cardholder,NO,YES
VISA,86,VISA_86,Paid by Other Means,Processing Error,NO,YES
VISA,90,VISA_90,Non-Receipt of Cash or Load Tran Value at ATM/Load,Non-Receipt of Goods or Services,NO,YES
VISA,93,VISA_93,Risk Identification Services,Fraud,NO,NO
VISA,96,VISA_96,Transaction Exceed Limited Amount,Processing Error,YES,YES
VISA,97,VISA_97,Pre-Arbitration/Arbitration,Other,NO,YES
VISA,98,VISA_98,Good Faith Collection,Other,NO,YES
VISA,99,VISA_99,Pre-Compliance,Other,NO,YES
AMEX,A02,AMEX_A02,No Authorization,Request for Information,YES,NO
AMEX,C02,AMEX_C02,Credit not Processed,Cancelled/Returned by Cardholder,YES,YES
AMEX,FR2,AMEX_FR2,Fraudulent Transaction,Fraud,NO,NO
AMEX,P08,AMEX_P08,Paid By Other Means,Processing Error,NO,YES
AMEX,P17,AMEX_P17,Debit Adjustment,Request for Information,YES,NO
AMEX,R01,AMEX_R01,Non Receipt of Merchandise,Non-Receipt of Goods or Services,NO,YES
AMEX,R03,AMEX_R03,Fraudulent Transaction,Request for Information,YES,YES
AMEX,R04,AMEX_R04,Not as Described or Defective Merchandise,Cancelled/Returned by Cardholder,YES,YES
AMEX,R13,AMEX_R13,Requested Transaction Information Not Received,Request for Information,YES,NO
AMEX,M01,AMEX_M01,Merchant Accepted Chargeback,Request for Information,NO,NO
AMEX,M04,AMEX_M04,Merchant Accepted Chargeback,Cancelled/Returned by Cardholder,NO,NO
AMEX,R14,AMEX_R14,Requested Transaction Information Not Received,Request for Information,NO,NO
AMEX,R17,AMEX_R17,Non Dispute Adjustment,Request for Information,YES,NO
AMEX,S01,AMEX_S01,Non Dispute Adjustment,Request for Information,NO,NO
AMEX,R12,AMEX_R12,Notification,Request for Information,YES,NO
AMEX,R21,AMEX_R21,Non Dispute Adjustment,Request for Information,YES,NO
