id,payment_id,currency,phase,status,purchase_ts,filed_at,respond_by,avs_match,cvv_match,device_fingerprint_known,delivery_confirmed,prior_order_count,prior_dispute_count,ip_geo_billing_distance_km,days_between_purchase_and_dispute,amount,checkout_hour_of_day,card_network,customer_communication_log,reason_code,won_if_contested
dsp_000012,pay_000012,INR,chargeback,open,2025-04-08 13:59:21.389977982,2025-04-11 22:35:14.655711496,2025-04-18 22:35:14.655711496,True,True,True,False,11,0,3315.461872017824,4.310962275717059,6245.583902831947,14,RuPay,This charge needs to be looked into. I don't recall approving this purchase. Thank you for looking into this matter.,MC_4837,True
dsp_000013,pay_000013,INR,chargeback,open,2025-08-15 09:19:14.438351792,2025-08-28 18:49:11.642269908,2025-09-04 18:49:11.642269908,True,True,True,True,10,2,2666.35888625879,16.314442402389037,6906.106153680147,12,Mastercard,I am writing to dispute a transaction on my account. I did not authorize this transaction. I have already contacted mybank about this. Thank you for looking into this matter.,MC_4840,False
dsp_000014,pay_000014,INR,chargeback,open,2024-11-15 06:11:50.480650613,2024-11-20 18:37:30.712533691,2024-11-27 18:37:30.712533691,False,False,True,True,1,1,5193.190351081411,3.4341768611866037,4759.529204689981,16,Visa,n/a,VISA_83,False
dsp_000015,pay_000015,INR,chargeback,open,2024-06-12 14:41:06.404787404,2024-06-14 10:35:07.888385627,2024-06-21 10:35:07.888385627,True,True,True,False,5,2,2474.0187426526813,1.8889198474585525,13822.912977303466,15,Amex,see above,MC_4840,False
dsp_000016,pay_000016,INR,chargeback,open,2025-02-03 07:13:30.430681055,2025-02-06 10:20:43.067441875,2025-02-13 10:20:43.067441875,False,False,False,False,6,3,5021.252973790672,4.294331158052561,12311.150558619898,15,Amex,i am writing to dispute a transaction on my account. someone must have used my card without my permission. fix this.,MC_4837,False
dsp_000017,pay_000017,INR,chargeback,open,2024-02-15 22:45:43.867728535,2024-02-20 20:00:02.994193551,2024-02-27 20:00:02.994193551,False,False,True,True,14,3,7474.817651642988,7.412109341452977,1382.9833915013703,23,RuPay,I do not recognize this charge on my statement. I don't recall approving this purchase. I appreciate your help resolving this quickly.,VISA_83,True
dsp_000018,pay_000018,INR,chargeback,open,2025-08-18 21:27:59.947314546,2025-09-19 11:55:01.258965799,2025-09-26 11:55:01.258965799,False,False,False,False,2,0,6261.887495489359,32.67249775140512,10360.718831586206,4,RuPay,I am writing to dispute a transaction on my account. I did not authorize this transaction. I travel frequently and my account activity looks unusual to me. Thank you for looking into this matter.,MC_4840,False
dsp_000019,pay_000019,INR,chargeback,open,2025-03-30 19:09:38.940585410,2025-04-11 08:05:03.848206608,2025-04-18 08:05:03.848206608,False,False,True,True,1,3,5736.043702095771,12.757043477250486,17862.42064724012,23,RuPay,This charge needs to be looked into. I don't recall approving this purchase. I appreciate your help resolving this quickly.,MC_4837,True
dsp_000020,pay_000020,INR,chargeback,open,2025-06-29 19:45:22.135230938,2025-07-18 22:24:14.448259047,2025-07-25 22:24:14.448259047,True,True,True,False,12,2,2938.4543729379657,20.077377183264502,21218.668947631777,13,Mastercard,I do not recognize this charge on my statement. I don't recall approving this purchase. A family member sometimes has access to my card. Fix this.,MC_4837,True
dsp_000021,pay_000021,INR,chargeback,open,2024-09-12 06:12:31.425422849,2024-09-16 07:50:32.953671565,2024-09-23 07:50:32.953671565,True,True,True,True,11,0,1440.3645073896162,7.057563406940147,18338.419160868598,18,Visa,"I need to report an issue with a recent charge. Someone must have used my card without my permission. A family member sometimes has access to my card. Fix this. Unrelated, but your app keeps crashing on my phone.",MC_4837,False
dsp_000022,pay_000022,INR,chargeback,open,2025-11-29 21:39:42.701558146,2025-12-06 12:25:56.018476029,2025-12-13 12:25:56.018476029,True,True,True,False,5,3,782.3742880840567,8.682054061075156,9066.367021745971,8,RuPay,This charge needs to be looked into. I did not authorize this transaction. My card may ave been compromised recently. Please investigate and let me know what you find. Thank you.,MC_4840,False
dsp_000023,pay_000023,INR,chargeback,open,2025-10-05 01:07:58.715211279,2025-10-17 01:47:14.041023705,2025-10-24 01:47:14.041023705,True,True,True,True,13,0,215.62061517768777,10.119618290200528,18525.47964752218,22,RuPay,I do not recognize this charge on my statement. I don't recall approving this purchase. My card may have been compromised recently. Let me know.,MC_4840,True
dsp_000024,pay_000024,INR,chargeback,open,2025-07-14 10:28:00.585964574,2025-07-23 07:06:46.077644600,2025-07-30 07:06:46.077644600,True,True,True,False,8,0,3973.3528695413006,10.823521968881083,11124.525040899754,8,Visa,I do not recognize this charge on my statement. I did not authorize this transaction. I travel frequently and my account activity looks unusual to me. I appreciate your help resolving this quickly.,VISA_83,False
dsp_000025,pay_000025,INR,chargeback,open,2024-05-20 03:21:24.738055202,2024-06-09 06:41:53.459311466,2024-06-16 06:41:53.459311466,True,True,True,True,13,2,946.2554032915608,21.421676820135815,12099.214242175105,6,Mastercard,This charge needs to be looked into. This does not match any purchase I remember making. I have already contacted my bank about this. Let me know.,MC_4837,False
dsp_000026,pay_000026,INR,chargeback,open,2024-12-02 00:56:20.199851341,2024-12-19 16:20:08.629161477,2024-12-26 16:20:08.629161477,False,True,False,False,0,3,4910.018946052265,14.466941009842849,7167.683292076737,7,Mastercard,I do not recognize this charge on my statement. This does not match any purchase I remember making. Please investigate and let me know what you find. Thank you.,MC_4840,False
dsp_000027,pay_000027,INR,chargeback,open,2024-02-01 12:55:44.662091926,2024-02-04 12:35:36.705185712,2024-02-11 12:35:36.705185712,True,False,True,True,10,4,2211.073526923448,3.236721382677137,17176.624680106543,18,Visa,I need to report an issue with a recent charge. This does not match any purchase I remember making. I have already contacted my bank about this. Fix this.,MC_4837,False
dsp_000028,pay_000028,INR,chargeback,open,2024-04-21 02:07:20.722538012,2024-04-29 19:36:45.018456422,2024-05-06 19:36:45.018456422,False,True,True,True,8,3,4039.0126228822537,8.681175684398147,1251.2251776273026,12,Visa,I need to report an issue with a recent charge. This does not match any purchase I remember making. A family member sometimes has access to my card. Let me know.,VISA_83,False
dsp_000029,pay_000029,INR,chargeback,open,2025-05-06 19:05:09.283306614,2025-05-22 21:10:03.914727360,2025-05-29 21:10:03.914727360,True,True,True,False,9,1,3275.994753383039,17.076941016454334,2533.456362491481,17,Amex,I do not recognize this charge on my statement. This does not match any purchase I remember making. Please refund me.,MC_4837,False
dsp_000030,pay_000030,INR,chargeback,open,2025-06-20 05:29:24.194713493,2025-06-29 08:49:17.970003185,2025-07-06 08:49:17.970003185,True,True,True,True,11,5,482.78257300622,8.349142233708413,6994.1607624750595,15,Visa,I need to report an issue with a recent charge. This does not match any purchase I remember making. A family member sometimes has access to my card. Thank you for looking into this matter.,MC_4837,False
dsp_000031,pay_000031,INR,chargeback,open,2025-11-27 14:34:05.435267335,2025-12-06 19:46:43.456793378,2025-12-13 19:46:43.456793378,False,False,False,False,4,2,6021.3579821495,11.402871747742434,12995.883769551658,21,RuPay,I do not recognize this charge on my statement. This does not match any purchase I remember making. My card may have been compromised recently. Let me know.,VISA_83,False
dsp_000032,pay_000032,INR,chargeback,open,2024-08-22 14:15:43.879058156,2024-08-27 07:31:06.102461216,2024-09-03 07:31:06.102461216,False,False,True,True,9,5,6359.087445033131,2.4255834327885637,17313.933376862908,15,RuPay,I am writing to dispte a transaction on my account. I don't recall approving this purchase. My card may have been compromised recently. I appreciate your help resolving this quickly.,MC_4840,False
dsp_000033,pay_000033,INR,chargeback,open,2024-09-23 17:32:37.393017123,2024-09-24 08:05:08.241821092,2024-10-01 08:05:08.241821092,False,True,False,True,5,0,6548.0644770501585,4.5110963262890875,4399.831507393253,18,Mastercard,This charge needs to be looked into. This does not match any purchase I remember making. Please investigate and let me know what you find. Thank you.,VISA_83,False
dsp_000034,pay_000034,INR,chargeback,open,2024-12-04 01:55:27.907845458,2024-12-10 23:43:34.483376932,2024-12-17 23:43:34.483376932,False,False,True,True,14,0,5274.077601473639,8.599338849140189,6625.540585055241,0,RuPay,I need to report an issue with a recent charge. This does not match any purchase I remember making. I travel frequently and my account activity looks unusual to me. I appreciate your help resolving this quickly.,AMEX_FR2,True
dsp_000035,pay_000035,INR,chargeback,open,2024-05-16 10:03:54.305915244,2024-06-02 16:24:40.240571045,2024-06-09 16:24:40.240571045,False,True,False,False,7,0,5033.53933501722,18.889180087303345,6153.094896803619,2,RuPay,I do not recognize this charge on my statement. Someone must have used my card without my permission. I travel frequently and my account activity looks unusual to me. ix this.,AMEX_FR2,False
dsp_000036,pay_000036,INR,chargeback,open,2024-04-03 13:02:37.003909021,2024-04-11 06:13:12.031123381,2024-04-18 06:13:12.031123381,True,False,True,True,10,3,6288.2424308277805,8.620341543012257,3258.9420015269607,5,Amex,I need to report an issue with a recent charge. This does not match any purchase I remember making. Please refund me.,AMEX_FR2,False
dsp_000037,pay_000037,INR,chargeback,open,2024-12-08 12:10:52.050662886,2024-12-24 06:25:57.546389820,2024-12-31 06:25:57.546389820,True,True,False,True,0,2,3724.4039328473186,18.43926278347483,11090.75736300496,21,Visa," do not recognize this charge on my statement. I did not authorize this transaction. Please investigate and let me know what you find. Thank you. Unrelated, but your app keeps crashing on my phone.",MC_4840,False
dsp_000038,pay_000038,INR,chargeback,open,2024-06-12 08:59:36.785757402,2024-06-28 18:20:57.351331455,2024-07-05 18:20:57.351331455,False,False,True,False,5,2,7016.200053079054,20.18712677427684,36243.415317988874,14,RuPay,I am writing to dispute a transaction on my account. I don't recall approving this purchase. I have already contacted my bank about this. Fix this.,VISA_83,False
dsp_000039,pay_000039,INR,chargeback,open,2025-04-27 06:23:08.981209608,2025-05-21 02:45:39.789725875,2025-05-28 02:45:39.789725875,True,False,True,True,16,1,1527.693147619837,22.658743507741857,4713.149248971048,12,Amex,I do not recognize this charge on my statement. This does not match any purchase I remember making. Please investigate and let me know what you find. Thank you.,VISA_83,True
dsp_000040,pay_000040,INR,chargeback,open,2024-11-10 17:59:06.569209947,2024-11-29 16:20:08.461404161,2024-12-06 16:20:08.461404161,True,True,False,True,5,1,4102.910241091289,17.25022496528526,23594.84923745562,13,Amex,I need to report an issue with a recent charge. This does not match any purchase I remember making. Please investigate and let me know what you find. Thank you.,AMEX_FR2,False
dsp_000041,pay_000041,INR,chargeback,open,2025-08-22 12:40:45.220365955,2025-08-30 06:37:07.378573586,2025-09-06 06:37:07.378573586,False,False,True,True,12,0,3756.9892284991215,9.191872445315322,4470.420707733072,7,Amex,I am writing to dispute a transaction on my account. Someone must have used my card without my permission. A family member sometimes has access to my card. Please refund me.,MC_4837,True
dsp_000042,pay_000042,INR,chargeback,open,2025-05-19 04:34:51.465355916,2025-05-26 20:33:39.519386360,2025-06-02 20:33:39.519386360,False,False,True,True,16,0,4122.988106963724,7.113178111906736,15858.623629233965,2,RuPay,I need to report an issue with a recent charge. Someone must have used my card without my permission. A family member sometimes has access to my card. Let me know.,MC_4837,False
dsp_000043,pay_000043,INR,chargeback,open,2024-08-12 21:41:44.027094013,2024-09-03 18:07:19.554239098,2024-09-10 18:07:19.554239098,True,False,True,True,10,4,1766.474761795732,20.97496825270891,2434.26883546367,9,Amex,I need to report an issue with a recent charge. I did not authorize this transaction. A family member sometimes has access to my card. Please refund me.,MC_4837,False
dsp_000044,pay_000044,INR,chargeback,open,2025-08-22 05:26:57.725192670,2025-09-08 22:18:45.068211736,2025-09-15 22:18:45.068211736,True,True,True,False,6,1,987.955828909391,14.99195311027346,3939.8382768649794,0,Mastercard,I need to report an issue with a recent charge. This does not match any purchase I remember making. I travel frequently and my account activity looks unusual to me. Please refund me.,AMEX_FR2,False
dsp_000045,pay_000045,INR,chargeback,open,2025-08-02 10:19:41.151161055,2025-08-15 02:32:06.746763286,2025-08-22 02:32:06.746763286,False,False,True,True,13,2,4230.437956933624,9.411355232493724,7442.735483255841,14,RuPay,I need to report an issue with a recent charge. I don't recall approving this purchase. A family member sometimes has access to my card. Please refund me.,MC_4837,True
dsp_000046,pay_000046,INR,chargeback,open,2024-10-05 23:37:35.002709091,2024-10-14 11:49:00.668274691,2024-10-21 11:49:00.668274691,False,False,False,False,2,2,6368.118644041716,7.192342393716887,11570.387423334156,14,Visa,"I need to report an issue with a recent charge. Someone must have used my card without my permission. Fix this. Also, my delivery address recently changed.",AMEX_FR2,False
dsp_000047,pay_000047,INR,chargeback,open,2024-07-26 14:18:34.689292629,2024-07-30 04:11:40.311751545,2024-08-06 04:11:40.311751545,False,False,False,False,5,0,6526.345117744279,4.669422763750209,40780.68150628773,19,RuPay,I need to report an issue with a recent charge. This does not match any purchase I remember making. Please refund me.,MC_4837,False
dsp_000048,pay_000048,INR,chargeback,open,2025-05-06 09:31:20.311275279,2025-05-18 19:47:19.875772970,2025-05-25 19:47:19.875772970,True,True,True,False,8,2,576.8656850727751,11.303322160756176,4203.999768291337,14,RuPay,I need to report an issue with a recent charge. I don't recall approving this purchase. My card may have been compromised recently. Thank you for looking into this matter.,MC_4840,False
dsp_000049,pay_000049,INR,chargeback,open,2024-04-10 14:55:22.500367947,2024-04-17 11:55:28.910367574,2024-04-24 11:55:28.910367574,False,False,True,True,12,1,3935.66693999319,8.923147259916107,59559.00361348194,5,Amex,This charge needs to be looked into. I don't recall approving this purchase. My card may have been compromised recently. Fix this.,MC_4837,False
dsp_000050,pay_000050,INR,chargeback,open,2024-05-23 22:24:49.459571539,2024-05-29 20:39:06.908774561,2024-06-05 20:39:06.908774561,True,True,True,True,9,2,1834.867363933581,6.172344801047487,4634.168340571353,10,Visa,I need to report an issue with a recent charge. Someone must have used my card without my permission. A family member sometimes has access to my card. Thank you for looking into this matter.,VISA_83,False
dsp_000051,pay_000051,INR,chargeback,open,2024-01-06 07:13:12.076670553,2024-01-11 19:33:03.411426573,2024-01-18 19:33:03.411426573,True,True,True,True,7,2,1048.6090977382391,4.813644432226824,16055.347755098739,6,RuPay,please refnd,AMEX_FR2,True
dsp_000052,pay_000052,INR,chargeback,open,2025-07-20 14:03:11.675653021,2025-07-28 09:12:58.099983640,2025-08-04 09:12:58.099983640,True,True,False,True,9,2,1228.5229293334721,11.483612091655107,5196.987458417127,19,Visa,This charge needs to be lookd into. I did not authorize this transaction. A family member sometimes has access to my card. Please investigate and let me know what you find. Thank you.,MC_4837,False
dsp_000053,pay_000053,INR,chargeback,open,2025-04-23 16:37:22.086877131,2025-05-01 10:48:49.455083769,2025-05-08 10:48:49.455083769,True,True,False,True,14,5,609.2891147234174,9.891970410231279,7538.307449757125,1,Amex,I do not recognize this charge on my statement. Someone must have used my card without my permission. A family member sometimes has access to my card. Let me know.,VISA_83,True
dsp_000054,pay_000054,INR,chargeback,open,2025-05-22 17:15:27.873587056,2025-06-07 14:04:31.848372606,2025-06-14 14:04:31.848372606,True,True,True,False,11,0,1680.7390820717721,16.537858105301588,15913.45598706586,5,Amex,This charge needs to be looked into. This does not match any purchase I remember making. Fix this.,MC_4837,False
dsp_000055,pay_000055,INR,chargeback,open,2025-07-16 02:59:51.561814571,2025-07-28 11:28:40.534898931,2025-08-04 11:28:40.534898931,True,True,False,True,8,2,559.6644858302736,11.637571187486795,3372.9659925196556,20,RuPay,This charge needs to be looked ino. I did not authorize this transaction. I travel frequently and my account activity looks unusual to me. Let me know.,MC_4837,False
dsp_000056,pay_000056,INR,chargeback,open,2024-11-26 10:03:52.564689046,2024-12-01 20:34:46.321212238,2024-12-08 20:34:46.321212238,True,True,True,False,19,1,1114.0496492294624,9.781422868612808,61373.85026478834,6,Visa,I am writing to dispute a transaction on my account. This does not match any purchase I remember making. Please refund me.,MC_4840,False
dsp_000057,pay_000057,INR,chargeback,open,2025-02-13 11:50:52.317837614,2025-03-08 10:52:07.181639272,2025-03-15 10:52:07.181639272,False,True,False,False,14,1,1353.2397047892516,21.570643493198823,3315.906261702442,21,Mastercard,This charge needs to be looked into. I don't recall approving this purchase. I travel frequently and my account activity looks unusual to me. Fix this.,VISA_83,True
dsp_000058,pay_000058,INR,chargeback,open,2024-04-10 15:41:31.659525317,2024-04-22 03:07:51.619919049,2024-04-29 03:07:51.619919049,True,True,True,True,9,4,1649.660388152616,11.870585365083862,4323.749984038756,11,RuPay,I need to report an issue with a recent charge. I don't recall approving this purchase. I appreciate your help resolving this quickly.,VISA_83,False
dsp_000059,pay_000059,INR,chargeback,open,2024-03-23 11:04:46.814525837,2024-04-06 17:35:08.194486495,2024-04-13 17:35:08.194486495,False,False,True,True,8,1,5943.3699082120465,15.682182652508551,6748.476114448273,14,RuPay,"I do not recognize this charge on my statement. I did not authorize this transaction. A family member sometimes has access to my card. Please refund me. By the way, do you have any upcoming sales?",AMEX_FR2,False
dsp_000060,pay_000060,INR,chargeback,open,2025-04-26 06:00:11.447061661,2025-05-23 09:44:18.340403826,2025-05-30 09:44:18.340403826,False,False,False,False,2,1,6626.316735224514,26.896781595133415,3503.24132281354,23,Visa,I am writing to dispute a transactionon my account. I don't recall approving this purchase. Please investigate and let me know what you find. Thank you.,AMEX_FR2,False
dsp_000061,pay_000061,INR,chargeback,open,2024-12-05 04:32:32.791751986,2024-12-08 14:34:06.952959548,2024-12-15 14:34:06.952959548,True,True,True,False,14,2,795.6452029013471,2.569081397996424,16953.28099099854,5,Amex,I do not recognize this charge on my statement. I did not authorize this transaction. Thank you for looking into this matter.,MC_4837,True
dsp_000062,pay_000062,INR,chargeback,open,2025-02-10 23:16:47.711981789,2025-02-15 15:46:30.280279995,2025-02-22 15:46:30.280279995,True,True,True,True,6,2,2362.5453238908876,6.776993773712533,4987.4379181283475,1,RuPay,This charge needs to be looked into. Someone must have used my card without my permission. Please investigate and let me know what you find. Thank you.,AMEX_FR2,False
dsp_000063,pay_000063,INR,chargeback,open,2025-07-04 19:10:48.922136126,2025-07-10 19:41:14.351706222,2025-07-17 19:41:14.351706222,False,False,False,False,4,1,7368.442053739808,4.36172810806016,5583.585333222079,14,Visa,I do not recognize this charge on my statement. This does not match any purchase I remember making. Fix this.,VISA_83,False
dsp_000064,pay_000064,INR,chargeback,open,2025-04-01 23:55:57.250596754,2025-04-07 14:37:21.300961186,2025-04-14 14:37:21.300961186,True,True,True,True,5,2,853.501113949959,8.342535674062239,4128.29005876203,16,Amex,I need to report an issue with a recent charge. I don't recall approving this purchase. I have already contacted my bank about this. Fix this.,VISA_83,False
dsp_000065,pay_000065,INR,chargeback,open,2025-02-02 13:51:07.356132604,2025-02-19 02:48:43.924505145,2025-02-26 02:48:43.924505145,False,True,True,False,13,1,5456.8691277983025,15.292586969742981,1928.6141111547056,2,RuPay,i need to report an issue with a recent charge. i did not authorize this transaction. i have already contacted my bank about this. please refund me.,VISA_83,True
dsp_000066,pay_000066,INR,chargeback,open,2025-02-06 15:05:59.055650681,2025-02-26 09:19:47.987611457,2025-03-05 09:19:47.987611457,True,True,False,False,10,0,2613.6680190623038,18.572404565286345,7096.191210786304,22,Amex,please refund,MC_4837,False
dsp_000067,pay_000067,INR,chargeback,open,2024-08-06 20:15:27.700278981,2024-08-14 21:02:19.939399889,2024-08-21 21:02:19.939399889,True,True,True,False,8,3,2318.5763529132546,7.225283040061963,21631.069827356998,16,Amex,This charge needs to be looked into. I did not authorize this transaction. I appreciate your help resolving this quickly.,MC_4837,True
dsp_000068,pay_000068,INR,chargeback,open,2024-01-23 04:31:55.852802376,2024-02-01 16:48:17.018725232,2024-02-08 16:48:17.018725232,False,False,True,True,10,2,5702.313116719267,7.412516089468452,7510.0721610553155,10,Visa,This charge needs to be looked into. Someone must have used my card without my permission. I have already contacted my bank about this. Please refund me.,MC_4837,False
dsp_000069,pay_000069,INR,chargeback,open,2024-11-10 10:28:35.349366797,2024-12-02 17:21:19.303285938,2024-12-09 17:21:19.303285938,True,True,True,False,5,2,1849.4560963259219,22.800698844231384,5379.461847722559,19,Visa,I am writing to dispute a transaction on my account.Someone must have used my card without my permission. Thank you for looking into this matter.,MC_4837,False
dsp_000070,pay_000070,INR,chargeback,open,2024-06-03 12:01:23.326757270,2024-06-15 16:50:51.030240607,2024-06-22 16:50:51.030240607,True,True,True,True,11,2,2171.74236151258,14.807565623553597,5094.965325194496,10,Visa,I do not recognize this charge on my statement. Someone must have used my card without my permission. My card may have been compromised recently. Fix this.,VISA_83,False
dsp_000071,pay_000071,INR,chargeback,open,2024-10-21 03:22:29.868822163,2024-11-07 14:45:34.910967501,2024-11-14 14:45:34.910967501,False,False,False,False,10,0,4362.336230163512,16.529907762337565,4946.089087283172,15,Visa,This charge needs to be looked into. I don't recall approving this purchase. Please investigate and let me know what you find. Thank you.,VISA_83,False
dsp_000072,pay_000072,INR,chargeback,open,2025-09-06 10:48:18.381866086,2025-09-14 19:13:32.253881162,2025-09-21 19:13:32.253881162,False,False,False,False,6,0,6596.148118383879,6.562476579531772,4567.694852140699,22,RuPay,?,MC_4840,False
dsp_000073,pay_000073,INR,chargeback,open,2024-06-17 10:28:27.536711113,2024-07-08 03:35:25.045594427,2024-07-15 03:35:25.045594427,True,True,True,False,15,3,504.1055681905022,20.204981041214918,15983.45462966089,22,Visa,I need to report an issue with a recent charge. This does not match any purchase I remember making. A family member sometimes has access to my card. I appreciate your help resolving this quickly.,VISA_83,True
dsp_000074,pay_000074,INR,chargeback,open,2024-02-11 23:28:16.954993416,2024-03-07 00:15:38.336122465,2024-03-14 00:15:38.336122465,False,False,True,False,10,2,4910.052054618128,25.300144071843363,1291.018041463437,14,Mastercard,This charge needs to be looked into. Someone must have used my card without my permission. I have already contacted my bank about this. Thank you for looking into this matter.,AMEX_FR2,True
dsp_000075,pay_000075,INR,chargeback,open,2024-07-21 14:18:49.154904359,2024-07-31 00:10:43.180978940,2024-08-07 00:10:43.180978940,True,True,True,True,10,0,1804.184419501846,8.783765722213396,7474.056595844861,2,Amex,I am writing to dispute a transaction on my account. Someone must have used my card without my permission. I travel frequently and my account activity looks unusual to me. Please investigate and let me know what you find. Thank you.,AMEX_FR2,True
dsp_000076,pay_000076,INR,chargeback,open,2024-07-30 09:18:00.483149854,2024-08-02 08:17:23.896377821,2024-08-09 08:17:23.896377821,True,True,True,False,8,1,2281.447828040797,2.858483381075709,22027.390582456235,14,Mastercard,please refund,VISA_83,True
dsp_000077,pay_000077,INR,chargeback,open,2025-04-21 13:55:02.548130684,2025-04-28 01:18:30.876617969,2025-05-05 01:18:30.876617969,True,True,True,False,13,4,2225.4705598741557,4.13347468533596,2814.50626331381,4,Amex,This charge needs to be looked into. I don't recall approving this purchase. Plase refund me.,MC_4840,True
dsp_000078,pay_000078,INR,chargeback,open,2025-02-05 01:30:56.132846242,2025-03-03 03:45:11.808899616,2025-03-10 03:45:11.808899616,True,True,False,False,4,2,90.9606900618891,25.881074052523836,1552.496208882307,23,RuPay,I need to report an issue with a recent charge. I don't recall approving this purchase. Please refund me.,MC_4840,False
dsp_000079,pay_000079,INR,chargeback,open,2025-07-18 09:45:39.792091769,2025-07-26 16:10:35.362659688,2025-08-02 16:10:35.362659688,False,False,False,False,10,0,7127.198687778531,4.75079681556897,47028.014475614895,5,Amex,I need to report an issue with a recent charge. This does not match any purchase I remember making. Fix this.,VISA_83,False
dsp_000080,pay_000080,INR,chargeback,open,2025-04-23 07:20:16.716686121,2025-05-04 11:54:01.435009457,2025-05-11 11:54:01.435009457,False,False,False,True,2,0,6662.193985177775,12.323947860896293,21590.63760233967,12,RuPay,I am writing to dispute a transaction on my account. Someone must have used my card without my permission. Please investigate and et me know what you find. Thank you.,AMEX_FR2,False
